# Wavelength              Flux
#         um   erg s-1 cm-2 cm
     0.18246   3.061181307e-02
     0.18270   2.295347256e-02
     0.18294   2.741822417e-02
     0.18319   1.509194069e-02
     0.18343   1.320275224e-02
     0.18368   1.859257119e-02
     0.18392   2.240313852e-02
     0.18417   2.273115301e-02
     0.18441   2.877794189e-02
     0.18466   3.026439160e-02
     0.18490   3.317012716e-02
     0.18515   2.132525709e-02
     0.18540   1.753377104e-02
     0.18565   1.786143341e-02
     0.18589   2.713799680e-02
     0.18614   2.179981957e-02
     0.18639   2.670768336e-02
     0.18664   3.952682265e-02
     0.18689   5.366395400e-02
     0.18714   3.420006369e-02
     0.18739   3.418079897e-02
     0.18764   4.122778604e-02
     0.18789   2.745374449e-02
     0.18814   2.815680993e-02
     0.18839   4.922814008e-02
     0.18864   4.845310669e-02
     0.18889   4.980082986e-02
     0.18914   6.345827426e-02
     0.18940   7.817562696e-02
     0.18965   3.726293339e-02
     0.18990   3.966006933e-02
     0.19015   5.036279030e-02
     0.19041   6.631402256e-02
     0.19066   7.615377604e-02
     0.19092   5.769016274e-02
     0.19117   8.378556181e-02
     0.19143   8.657562196e-02
     0.19168   7.572948383e-02
     0.19194   6.911893812e-02
     0.19219   6.507106961e-02
     0.19245   6.170753431e-02
     0.19271   9.299599535e-02
     0.19296   8.490125389e-02
     0.19322   1.254925141e-01
     0.19348   1.069278937e-01
     0.19374   8.357571231e-02
     0.19400   8.200941227e-02
     0.19425   9.961857615e-02
     0.19451   6.509606426e-02
     0.19477   9.476504652e-02
     0.19503   9.229705981e-02
     0.19529   1.208542307e-01
     0.19555   1.219312337e-01
     0.19581   1.383708344e-01
     0.19608   1.085329410e-01
     0.19634   1.406368440e-01
     0.19660   1.393694984e-01
     0.19686   1.342175809e-01
     0.19712   1.979891236e-01
     0.19739   1.649934231e-01
     0.19765   1.467003413e-01
     0.19791   1.461860523e-01
     0.19818   1.710333420e-01
     0.19844   1.949636045e-01
     0.19871   1.889136842e-01
     0.19897   1.359157577e-01
     0.19924   2.064760224e-01
     0.19950   1.582799565e-01
     0.19977   1.968283619e-01
     0.20004   1.757633815e-01
     0.20030   2.123527651e-01
     0.20057   1.833543119e-01
     0.20084   2.063947388e-01
     0.20111   2.048790538e-01
     0.20138   2.571710627e-01
     0.20164   2.061059720e-01
     0.20191   2.104148499e-01
     0.20218   1.881515322e-01
     0.20245   1.944088588e-01
     0.20272   2.226580962e-01
     0.20299   2.742249090e-01
     0.20326   2.633215813e-01
     0.20353   2.479961136e-01
     0.20381   3.091389892e-01
     0.20408   2.366230543e-01
     0.20435   2.527320851e-01
     0.20462   3.184018087e-01
     0.20490   2.907679841e-01
     0.20517   3.078369621e-01
     0.20544   3.154928221e-01
     0.20572   3.645412858e-01
     0.20599   3.023980778e-01
     0.20627   3.444536041e-01
     0.20654   2.459851733e-01
     0.20682   3.845589339e-01
     0.20709   9.834602909e-01
     0.20737   1.203832943e+00
     0.20765   7.237581599e-01
     0.20792   7.175004518e-01
     0.20820   9.970994055e-01
     0.20848   7.238965137e-01
     0.20876   1.044109435e+00
     0.20904   1.834872208e+00
     0.20931   1.779474042e+00
     0.20959   6.846274468e-01
     0.20987   1.616876070e+00
     0.21015   1.194889972e+00
     0.21043   1.171684875e+00
     0.21071   1.287492563e+00
     0.21100   1.008184863e+00
     0.21128   1.717612150e+00
     0.21156   1.093784016e+00
     0.21184   1.505861993e+00
     0.21212   1.791448265e+00
     0.21241   1.201577799e+00
     0.21269   1.156386346e+00
     0.21297   2.256177041e+00
     0.21326   2.163607479e+00
     0.21354   1.810057346e+00
     0.21383   1.750262543e+00
     0.21411   1.603746981e+00
     0.21440   2.161625398e+00
     0.21468   1.607644163e+00
     0.21497   9.950943015e-01
     0.21526   1.392772405e+00
     0.21555   2.702599751e+00
     0.21583   1.954501003e+00
     0.21612   1.664493488e+00
     0.21641   1.772165286e+00
     0.21670   1.629971962e+00
     0.21699   1.976439127e+00
     0.21728   2.569758534e+00
     0.21757   3.700648504e+00
     0.21786   1.285819428e+00
     0.21815   1.276430196e+00
     0.21844   1.928766306e+00
     0.21873   2.509664311e+00
     0.21902   4.181385568e+00
     0.21931   2.829464440e+00
     0.21961   3.265729879e+00
     0.21990   1.681799658e+00
     0.22019   3.088689509e+00
     0.22049   2.891804810e+00
     0.22078   4.072197050e+00
     0.22108   3.076085635e+00
     0.22137   3.210766588e+00
     0.22167   2.251745409e+00
     0.22196   1.711866046e+00
     0.22226   2.785169582e+00
     0.22255   3.212063047e+00
     0.22285   3.788659056e+00
     0.22315   5.515839802e+00
     0.22345   6.559210483e+00
     0.22374   4.261451415e+00
     0.22404   5.474094894e+00
     0.22434   3.522276679e+00
     0.22464   7.617654294e+00
     0.22494   7.471595532e+00
     0.22524   8.123424899e+00
     0.22554   7.600583392e+00
     0.22584   2.056751988e+00
     0.22614   2.094292367e+00
     0.22645   3.875324746e+00
     0.22675   3.496605664e+00
     0.22705   6.488119734e+00
     0.22735   8.133691454e+00
     0.22766   6.827033475e+00
     0.22796   6.603752707e+00
     0.22826   7.604043887e+00
     0.22857   6.925829911e+00
     0.22887   5.519448602e+00
     0.22918   1.061206870e+01
     0.22948   9.464594728e+00
     0.22979   1.149354571e+01
     0.23010   2.931100471e+00
     0.23040   4.674804193e+00
     0.23071   5.493344704e+00
     0.23102   9.424579456e+00
     0.23133   1.139087712e+01
     0.23164   2.014271675e+01
     0.23195   1.373300291e+01
     0.23226   1.043174608e+01
     0.23257   9.263919367e+00
     0.23288   1.438112069e+01
     0.23319   1.390737578e+01
     0.23350   1.347889774e+01
     0.23381   1.130722210e+01
     0.23412   2.056723347e+01
     0.23443   7.241770508e+00
     0.23475   9.178028906e+00
     0.23506   8.809059381e+00
     0.23537   7.976024520e+00
     0.23569   8.785091007e+00
     0.23600   1.157171439e+01
     0.23632   1.854434604e+01
     0.23663   9.575321975e+00
     0.23695   1.077023459e+01
     0.23726   1.095592185e+01
     0.23758   1.674424393e+01
     0.23790   1.678104913e+01
     0.23821   2.070855884e+01
     0.23853   2.511393207e+01
     0.23885   1.872131988e+01
     0.23917   1.170571050e+01
     0.23949   1.364269930e+01
     0.23981   2.754203777e+01
     0.24013   3.211127826e+01
     0.24045   3.442803933e+01
     0.24077   4.224530393e+01
     0.24109   2.740022913e+01
     0.24141   1.819226117e+01
     0.24173   2.049833422e+01
     0.24206   2.006816401e+01
     0.24238   2.538581501e+01
     0.24270   3.695132334e+01
     0.24303   4.546843379e+01
     0.24335   2.909145989e+01
     0.24368   3.560456391e+01
     0.24400   4.156813166e+01
     0.24433   4.141355104e+01
     0.24465   4.315680837e+01
     0.24498   4.846539318e+01
     0.24531   5.610766876e+01
     0.24563   6.239768475e+01
     0.24596   2.365060048e+01
     0.24629   2.595276720e+01
     0.24662   4.157693979e+01
     0.24695   4.433030053e+01
     0.24728   4.032058987e+01
     0.24761   5.847940328e+01
     0.24794   5.381515195e+01
     0.24827   2.731741289e+01
     0.24860   3.028765298e+01
     0.24893   1.046695524e+01
     0.24926   2.677528033e+01
     0.24959   4.357667622e+01
     0.24993   5.027403200e+01
     0.25026   5.784293329e+01
     0.25059   5.812472501e+01
     0.25093   5.016865324e+01
     0.25126   4.152520013e+01
     0.25160   2.714770320e+01
     0.25193   3.849409730e+01
     0.25227   2.861552858e+01
     0.25261   5.294794441e+01
     0.25294   3.169061342e+01
     0.25328   9.573839615e+01
     0.25362   9.341283059e+01
     0.25396   1.173021164e+02
     0.25430   9.154790274e+01
     0.25464   1.043624328e+02
     0.25498   1.033337433e+02
     0.25532   1.765142333e+02
     0.25566   1.398265001e+02
     0.25600   1.264761910e+02
     0.25634   7.982038390e+01
     0.25668   1.025249596e+02
     0.25702   1.222954526e+02
     0.25737   1.838520926e+02
     0.25771   9.700767700e+01
     0.25805   1.261929925e+02
     0.25840   1.046696009e+02
     0.25874   8.838744010e+01
     0.25909   9.314868952e+01
     0.25943   1.209108693e+02
     0.25978   2.163714131e+02
     0.26013   2.063859574e+02
     0.26047   2.636544367e+02
     0.26082   1.705236438e+02
     0.26117   1.576787276e+02
     0.26152   1.898513988e+02
     0.26187   2.708919018e+02
     0.26222   2.701708085e+02
     0.26257   2.132284156e+02
     0.26292   3.399204525e+02
     0.26327   2.423223408e+02
     0.26362   3.929572683e+02
     0.26397   1.034013166e+03
     0.26432   2.754154666e+02
     0.26468   2.235826684e+02
     0.26503   4.980593689e+02
     0.26538   3.685902888e+02
     0.26574   5.533806898e+02
     0.26609   3.370136989e+02
     0.26645   5.104821910e+02
     0.26680   2.758510035e+02
     0.26716   2.346428567e+02
     0.26751   4.960452211e+02
     0.26787   5.541899104e+02
     0.26823   4.588929636e+02
     0.26859   9.432886538e+02
     0.26894   5.033435015e+02
     0.26930   3.630756841e+02
     0.26966   2.487227512e+02
     0.27002   4.921651314e+02
     0.27038   8.087396841e+02
     0.27074   6.236263427e+02
     0.27110   5.205033546e+02
     0.27147   3.606054209e+02
     0.27183   2.454174385e+02
     0.27219   2.129011411e+02
     0.27255   3.119074979e+02
     0.27292   5.855729000e+02
     0.27328   2.840996721e+02
     0.27365   3.363174912e+02
     0.27401   4.772257116e+02
     0.27438   3.223601474e+02
     0.27474   5.365782122e+02
     0.27511   4.580713664e+02
     0.27548   5.399664214e+02
     0.27584   5.351448205e+02
     0.27621   6.425584992e+02
     0.27658   1.062698914e+03
     0.27695   6.922974437e+02
     0.27732   9.656522899e+02
     0.27769   6.756599129e+02
     0.27806   4.001367259e+02
     0.27843   7.235534075e+02
     0.27880   7.403980206e+02
     0.27917   7.168890802e+02
     0.27955   3.833836772e+02
     0.27992   5.564870278e+02
     0.28029   4.064371159e+02
     0.28067   6.398899723e+02
     0.28104   1.008597980e+03
     0.28142   9.203659074e+02
     0.28179   1.179970246e+03
     0.28217   1.008056575e+03
     0.28254   8.690022556e+02
     0.28292   8.775606187e+02
     0.28330   6.885419259e+02
     0.28368   7.297836566e+02
     0.28406   7.190388354e+02
     0.28443   5.756392243e+02
     0.28481   3.940026401e+02
     0.28519   1.012773802e+02
     0.28557   2.970777101e+02
     0.28596   5.876368366e+02
     0.28634   7.655833283e+02
     0.28672   9.221724499e+02
     0.28710   1.085349790e+03
     0.28748   9.433362660e+02
     0.28787   1.013183476e+03
     0.28825   1.077819003e+03
     0.28864   2.000478739e+03
     0.28902   1.819924409e+03
     0.28941   1.669575182e+03
     0.28979   3.011021358e+03
     0.29018   4.699849955e+03
     0.29057   6.155822771e+03
     0.29096   4.559369981e+03
     0.29134   3.271140961e+03
     0.29173   8.713451435e+03
     0.29212   7.040798734e+03
     0.29251   4.335564643e+03
     0.29290   2.225740419e+03
     0.29329   5.485091184e+03
     0.29368   1.607906329e+03
     0.29408   2.759290740e+03
     0.29447   2.419957431e+03
     0.29486   1.702792731e+03
     0.29525   4.024746683e+03
     0.29565   1.609951460e+03
     0.29604   4.561279615e+03
     0.29644   3.628861153e+03
