# Passband info could be (1) a path to a filter file or
# (2) a tophat filter defined by a central wavelength, half-width,
# and optionally a name

# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (none, percent, ppt, ppm)
# and also indicates that there's data and uncertainties to read
# as two columns before the passband info

@DEPTH_UNITS
percent

# depth    depth_err     wl  half_width    instrument
@DATA
    1.68181      0.02007    10.56418    0.06603    miri
    1.67076      0.02077    10.69706    0.06686    miri
    1.65914      0.02319    10.83161    0.06770    miri
    1.61544      0.02581    10.96786    0.06855    miri
    1.70735      0.02936    11.10582    0.06941    miri
    1.61619      0.03053    11.24552    0.07028    miri
    1.61678      0.03369    11.38697    0.07117    miri
    1.62505      0.03772    11.53020    0.07206    miri
    1.66342      0.04156    11.67524    0.07297    miri
    1.65838      0.04861    11.82209    0.07389    miri
